64650,62500,63300,62500,62900,59400,60000,59600
64650,62100,63700,62500,62900,59000,60000,59200
64150,63300,63300,62100,62900,59000,60000,59200
64175,62500,62900,62100,62500,59800,60000,59200
64000,62100,62900,62100,62100,59400,59600,59200
63800,62100,62500,61700,62100,59000,59600,59200
64175,62500,62500,61400,62100,59800,60000,59200
65025,66400,66400,61700,62100,58700,59600,58800
65325,66000,67200,65200,62500,58700,59600,58800
65225,66800,67500,65600,66400,59400,60000,58800
65900,66800,67900,67200,67900,58700,59600,59200
65825,66800,68300,66800,67500,58300,59600,58800
65625,66400,67900,66400,68700,58300,59600,59200
65900,67200,68700,68700,68300,58300,59600,59200
65800,69100,69100,68300,69100,57900,59600,58800
65525,65600,67900,66800,67200,57500,60000,58800
65225,67200,68700,65600,66000,57900,60000,59200
64575,66400,68700,65600,64800,57900,59600,58800
64175,66000,65200,66800,64800,57900,59600,58800
63675,67200,64800,66400,64500,57500,60000,58400
63600,64100,65200,66800,64100,57900,59600,58800
63300,63300,63700,65600,63700,57500,59600,58400
63100,62500,63300,66400,63300,57500,59600,58800
62900,62100,62900,63700,63300,57500,59600,58400
62600,61700,62500,62100,62500,57500,59200,58800
62200,61400,62100,61400,61400,57500,59200,58400
61850,61000,61000,61000,61400,57500,59200,58400
61750,60200,61000,60600,61000,57500,59200,58400
61375,60200,61000,60600,60600,57500,59200,58400
60975,60200,60600,60200,60600,56700,58800,58000
61075,59800,60200,60200,60200,57100,58800,57600
60875,59400,60600,59800,60200,56700,58800,58000
60800,59800,60200,59800,60200,56700,58400,57600
60700,59400,59800,59400,59800,56700,58800,58000
60300,59400,59800,59400,59800,56700,58400,57600
60200,59400,59400,59400,59400,56700,58400,57600
60300,59000,59400,59000,59000,56700,58400,57600
60000,58700,59400,59000,59400,56300,58000,57600
59900,58700,59400,59000,59400,56700,58000,57200
59800,58300,59000,58700,59000,56300,58000,57200
59800,58700,59000,59000,59000,56300,58000,56800
59500,58700,58700,58700,59000,56000,58000,57200
59500,58300,59000,58300,58700,56000,58000,56800
59325,58300,59000,58300,58300,56300,58000,56800
59150,57900,58700,58300,58700,56000,57600,57200
59400,58300,58700,58300,58700,56000,57600,57200
59250,57900,58300,58300,58300,56000,57600,56800
59200,57900,58300,57900,58300,55600,57200,56400
59200,57900,58700,57900,58300,55600,57600,56400
59050,57900,58300,57500,57900,55200,57200,56800
58875,57900,58700,57900,57900,55600,57600,56400
58850,57900,58300,57900,57900,55200,57600,56400
58875,57900,58300,57900,57900,55600,56800,56400
58675,57500,58300,57500,57500,55600,57200,56100
58575,57500,57900,57500,57500,55200,57200,56400
58575,57100,57900,57500,57500,55200,56800,56100
58475,57100,57900,57500,57500,55200,57200,56100
